2018-02-05_02-58-33-4870,         0.0907,         0.0762,         0.0000,        27.0000,        28.0000,        55.0000,         4.0000,       221.6000
2018-02-05_02-58-46-1040,         0.0910,         0.0755,         1.0000,        29.0000,        32.0000,        61.0000,         9.0000,       231.8000
2018-02-05_02-58-46-7070,         0.0923,         0.0755,         0.0000,        37.0000,        29.0000,        66.0000,         4.0000,       232.2000
2018-02-05_02-58-58-0730,         0.0894,         0.0763,         0.0000,        31.0000,        34.0000,        65.0000,         2.0000,       241.3000
2018-02-05_02-58-58-6720,         0.0913,         0.0762,         1.0000,        29.0000,        32.0000,        61.0000,         1.0000,       241.8000
2018-02-05_02-59-11-2900,         0.0906,         0.0762,         0.0000,        33.0000,        26.0000,        59.0000,         2.0000,       251.9000
2018-02-05_02-59-11-8910,         0.0909,         0.0762,         0.0000,        27.0000,        36.0000,        63.0000,         6.0000,       252.3000
2018-02-05_02-59-23-3070,         0.0914,         0.0762,         0.0000,        29.0000,        25.0000,        54.0000,         2.0000,       261.5000
2018-02-05_02-59-23-9090,         0.0912,         0.0763,         0.0000,        37.0000,        32.0000,        69.0000,         3.0000,       261.9000
2018-02-05_02-59-36-5260,         0.0914,         0.0763,         0.0000,        33.0000,        33.0000,        66.0000,         5.0000,       272.0000
2018-02-05_02-59-37-0770,         0.0909,         0.0762,         1.0000,        28.0000,        32.0000,        60.0000,         1.0000,       272.5000
2018-02-05_02-59-48-5960,         0.0912,         0.0759,         2.0000,        35.0000,        28.0000,        63.0000,         3.0000,       281.7000
2018-02-05_02-59-49-1940,         0.0912,         0.0761,         1.0000,        27.0000,        26.0000,        53.0000,         2.0000,       282.1000
2018-02-05_03-00-01-5110,         0.0929,         0.0763,         0.0000,        35.0000,        31.0000,        66.0000,         4.0000,       292.0000
2018-02-05_03-00-02-1140,         0.0926,         0.0762,         0.0000,        35.0000,        31.0000,        66.0000,         6.0000,       292.5000
2018-02-05_03-00-13-6800,         0.0917,         0.0761,         0.0000,        30.0000,        35.0000,        65.0000,         4.0000,       301.7000
2018-02-05_03-00-14-3300,         0.0905,         0.0762,         0.0000,        26.0000,        27.0000,        53.0000,         8.0000,       302.2000
2018-02-05_03-00-26-5970,         0.0911,         0.0762,         0.0000,        30.0000,        30.0000,        60.0000,         3.0000,       312.0000
2018-02-05_03-00-27-1990,         0.0912,         0.0754,         0.0000,        33.0000,        30.0000,        63.0000,         4.0000,       312.5000
2018-02-05_03-00-38-6650,         0.0901,         0.0762,         0.0000,        24.0000,        34.0000,        58.0000,         2.0000,       321.7000
2018-02-05_03-00-39-2160,         0.0915,         0.0761,         1.0000,        28.0000,        24.0000,        52.0000,         4.0000,       322.1000
2018-02-05_03-00-50-6320,         0.0912,         0.0755,         0.0000,        33.0000,        25.0000,        58.0000,         5.0000,       331.2000
2018-02-05_03-00-51-2310,         0.0920,         0.0761,         0.0000,        33.0000,        31.0000,        64.0000,         6.0000,       331.7000
2018-02-05_03-01-03-7500,         0.0902,         0.0761,         0.0000,        30.0000,        30.0000,        60.0000,         7.0000,       341.7000
2018-02-05_03-01-04-3510,         0.0903,         0.0760,         0.0000,        31.0000,        24.0000,        55.0000,         5.0000,       342.2000
2018-02-05_03-01-15-8680,         0.0907,         0.0762,         0.0000,        29.0000,        31.0000,        60.0000,         1.0000,       351.4000
